Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
18,NW26E,Ms M P Kobe ,ActionSA ,Public Works and Infrastructure,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 12, 2025",Timeous,A,,
19,NW27E,Ms D E James ,ActionSA ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 18, 2025",Timeous,A,,
20,NW28E,Ms D E James ,ActionSA ,Correctional Services,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
21,NW29E,Ms D E James ,ActionSA ,Social Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, August 01, 2025",Late,A,,
22,NW30E,Mr A D Beesley ,ActionSA ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
23,NW31E,Mr A D Beesley ,ActionSA ,"Sport, Arts and Culture","Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
24,NW32E,Mr A D Beesley ,ActionSA ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
25,NW35E,Mr W W Wessels ,FF Plus ,Correctional Services,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 11, 2025",Timeous,A,,
26,NW36E,Mr W W Wessels ,FF Plus ,Water and Sanitation,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
27,NW37E,Mr W W Wessels ,FF Plus ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 17, 2025",Late,A,,
28,NW38E,Mr M A Maimane ,BOSA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
29,NW39E,Ms N L Webster ,BOSA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 10, 2025",Late,A,,
30,NW40E,Mr M A Maimane ,BOSA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
31,NW41E,Ms N L Webster ,BOSA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
32,NW42E,Mr M A Maimane ,BOSA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
33,NW43E,Mr F Adams ,NCC ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
34,NW44E,Mr F Adams ,NCC ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, April 17, 2025",Late,A,,
35,NW45E,Adv S Salie ,Al Jama-ah ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
36,NW46E,Ms N A Mtshweni ,MK ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, April 23, 2025",Late,A,,
37,NW47E,Mr M M Gasa ,MK ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
38,NW48E,Mr M M Gasa ,MK ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, March 13, 2025",Late,A,,
39,NW49E,Mrs P P Ncube ,MK ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 28, 2025",Late,A,,
40,NW50E,Mr T I Gamede ,MK ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
41,NW51E,Mr M M Gasa ,MK ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
42,NW53E,Ms M C Mafagane ,MK ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
43,NW54E,Mr T S Mjadu ,MK ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
44,NW55E,Mr T S Mjadu ,MK ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
45,NW56E,Ms Z S Abader ,MK ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
46,NW57E,Mr M K B Molefe ,MK ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
47,NW58E,Mr M K B Molefe ,MK ,Police,"Thursday, February 06, 2025","Thursday, March 06, 2025","Thursday, April 17, 2025",Late,A,Rule 145(5) Extension approved,
48,NW59E,Mr M K B Molefe ,MK ,Justice and Constitutional Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 03, 2025",Late,A,,
49,NW66E,Mr S R Moodley ,MK ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
50,NW67E,Mr D D D van Rooyen ,MK ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 27, 2025",Late,A,,
51,NW68E,Mr D D D van Rooyen ,MK ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
52,NW69E,Mr D D D van Rooyen ,MK ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
53,NW70E,Ms G Mchunu ,MK ,"Forestry, Fisheries and the Environment","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
54,NW71E,Mr M J Matutu ,MK ,Public Service and Administration,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 03, 2025",Late,A,,
55,NW72E,Mr M J Matutu ,MK ,Public Service and Administration,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, March 14, 2025",Late,A,,
56,NW73E,Mr S G Mwali ,MK ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
57,NW74E,Mr M P Motubatse ,MK ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
58,NW75E,Ms N M Gasa ,MK ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
59,NW76E,Mr S P Mkhize ,MK ,"Forestry, Fisheries and the Environment","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
60,NW77E,Mr S G Mwali ,MK ,Water and Sanitation,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
61,NW78E,Rev N B Gcwabaza ,MK ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
62,NW79E,Rev N B Gcwabaza ,MK ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
63,NW80E,Mr M V Daniels ,PA ,Public Service and Administration,"Thursday, February 06, 2025","Wednesday, February 26, 2025","Friday, March 07, 2025",Late,A,"Interdepartmentally transferred from EL with effect Wednesday, 12 February 2025",
64,NW81E,Ms B E Machi ,IFP ,Correctional Services,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
65,NW82E,Inkosi R N Cebekhulu ,IFP ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
66,NW83E,Ms B E Machi ,IFP ,Home Affairs,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
67,NW84E,Mr M A Mncwango ,IFP ,International Relations and Cooperation,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
68,NW85E,Mr K P Sithole ,IFP ,Justice and Constitutional Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 10, 2025",Late,A,,
69,NW86E,Inkosi R N Cebekhulu ,IFP ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 18, 2025",Timeous,A,,
70,NW87E,Mr K P Sithole ,IFP ,Public Service and Administration,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, March 14, 2025",Late,A,,
71,NW88E,Ms L L van der Merwe ,IFP ,"Women, Youth and Persons with Disabilities","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 26, 2025",Late,A,,
72,NW89E,Ms L L van der Merwe ,IFP ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
73,NW90E,Ms L L van der Merwe ,IFP ,Social Development,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
74,NW91E,Ms N H Mhlongo ,IFP ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
75,NW92E,Mr K P Sithole ,IFP ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
76,NW93E,Mr S L Ngcobo ,IFP ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
77,NW94E,Mr B N Luthuli ,IFP ,"Sport, Arts and Culture","Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
78,NW95E,Ms B E Machi ,IFP ,Social Development,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
79,NW96E,Mr S S Zondo ,IFP ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
80,NW97E,Mr N Z Buthelezi ,IFP ,Cooperative Governance and Traditional Affairs,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
81,NW98E,Inkosi R N Cebekhulu ,IFP ,Agriculture,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, March 06, 2025",Late,A,,
82,NW100E,Ms N H Mhlongo ,IFP ,Electricity and Energy,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
83,NW101E,Mr N M Hadebe ,IFP ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
84,NW102E,Mr S L Ngcobo ,IFP ,Employment and Labour,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
85,NW103E,Mr T M Langa ,IFP ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
86,NW104E,Mr B N Luthuli ,IFP ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
87,NW105E,Mr S L Ngcobo ,IFP ,Public Works and Infrastructure,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
88,NW106E,Mr M A Mncwango ,IFP ,Land Reform and Rural Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, March 14, 2025",Late,A,,
89,NW107E,Ms O M C Maotwe ,EFF ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 17, 2025",Late,A,,
90,NW108E,Ms O M C Maotwe ,EFF ,Transport,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
91,NW109E,Ms O M C Maotwe ,EFF ,Justice and Constitutional Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
92,NW110E,Ms B K Diale ,EFF ,Correctional Services,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
93,NW111E,Mr T P Mogale ,EFF ,Home Affairs,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
94,NW112E,Mr T P Mogale ,EFF ,Transport,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
95,NW113E,Mr T P Mogale ,EFF ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
96,NW114E,Mr V Pambo ,EFF ,Justice and Constitutional Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 03, 2025",Late,A,,
97,NW115E,Mr V Pambo ,EFF ,Justice and Constitutional Development,"Thursday, February 06, 2025","Monday, February 24, 2025","Tuesday, April 08, 2025",Late,A,Interdepartmentally transferred from Finance with effect Monday. 10 February 2025,
98,NW116E,Mr V Pambo ,EFF ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 18, 2025",Timeous,A,,
99,NW117E,Dr S S Thembekwayo ,EFF ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
100,NW118E,Dr S S Thembekwayo ,EFF ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
101,NW119E,Mr N S Matiase ,EFF ,Land Reform and Rural Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 18, 2025",Timeous,A,,
102,NW120E,Mr N S Matiase ,EFF ,Cooperative Governance and Traditional Affairs,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
103,NW121E,Mr M N Paulsen ,EFF ,"Forestry, Fisheries and the Environment","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
104,NW122E,Mr M N Paulsen ,EFF ,"Forestry, Fisheries and the Environment","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
105,NW123E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Thursday, February 06, 2025","Monday, February 24, 2025","Thursday, February 20, 2025",Timeous,A,[Interdepartmentally transferred from MPR with effect Monday. 10 February 2025,
106,NW124E,Mr L M Komane ,EFF ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 27, 2025",Late,A,,
107,NW125E,Mr E Mthethwa ,EFF ,"Sport, Arts and Culture","Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
108,NW126E,Mr E Mthethwa ,EFF ,"Sport, Arts and Culture","Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
109,NW127E,Mr E Mthethwa ,EFF ,"Sport, Arts and Culture","Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, February 17, 2025",Timeous,A,,
110,NW128E,Ms N R Mashabela ,EFF ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
111,NW129E,Ms N R Mashabela ,EFF ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 28, 2025",Late,A,,
112,NW130E,Mr S Lonzi ,EFF ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
113,NW131E,Mr S Lonzi ,EFF ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
114,NW132E,Mr S Lonzi ,EFF ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
115,NW134E,Mr S Thambo ,EFF ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 27, 2025",Late,A,,
116,NW135E,Mr S Thambo ,EFF ,Deputy President,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
117,NW136E,Mr S Thambo ,EFF ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 28, 2025",Late,A,,
118,NW137E,Ms N V Mente-Nkuna ,EFF ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
119,NW138E,Ms M S Letlape ,EFF ,Public Works and Infrastructure,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
120,NW139E,Ms M S Letlape ,EFF ,Cooperative Governance and Traditional Affairs,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
121,NW140E,Ms M Dlamini ,EFF ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
122,NW141E,Ms M Dlamini ,EFF ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
123,NW142E,Ms M Dlamini ,EFF ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
124,NW146E,Mr C G Niehaus ,EFF ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
125,NW147E,Mr C G Niehaus ,EFF ,Minister in The Presidency,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, April 02, 2025",Late,A,,
126,NW148E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
127,NW149E,Ms N Tafeni ,EFF ,Social Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Monday, March 24, 2025",Late,A,,
128,NW150E,Ms N Tafeni ,EFF ,Water and Sanitation,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 25, 2025",Late,A,,
129,NW151E,Ms N Tafeni ,EFF ,Human Settlements,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
130,NW152E,Ms C N Mkhonto ,EFF ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
131,NW153E,Ms S Gcilishe ,EFF ,Higher Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
132,NW154E,Mrs L F Tito ,EFF ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
133,NW155E,Mrs L F Tito ,EFF ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
134,NW156E,Mrs L F Tito ,EFF ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
135,NW157E,Mr M K Montwedi ,EFF ,Land Reform and Rural Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 18, 2025",Timeous,A,,
136,NW158E,Mr M K Montwedi ,EFF ,Small Business Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 26, 2025",Late,A,,
137,NW159E,Mr M K Montwedi ,EFF ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, April 02, 2025",Late,A,,
138,NW160E,Ms L Managa ,EFF ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
139,NW161E,Ms L Managa ,EFF ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
140,NW162E,Mr N L S Kwankwa ,UDM ,Transport,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
141,NW163E,Ms D Kohler ,DA ,Minister in The Presidency,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
142,NW164E,Ms D Kohler ,DA ,Minister in The Presidency,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
143,NW165E,Ms D Kohler ,DA ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
144,NW166E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
145,NW167E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
146,NW168E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
147,NW169E,Mr A D de Blocq van Sheltinga ,DA ,"Forestry, Fisheries and the Environment","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
148,NW170E,Mr A D de Blocq van Sheltinga ,DA ,"Forestry, Fisheries and the Environment","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, February 19, 2025",Timeous,A,,
149,NW171E,Mr A D de Blocq van Sheltinga ,DA ,Tourism,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
150,NW172E,Mr J R B Lorimer ,DA ,Mineral and Petroleum Resources,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
151,NW173E,Mr J R B Lorimer ,DA ,Mineral and Petroleum Resources,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
152,NW174E,Mr J R B Lorimer ,DA ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
153,NW175E,Ms K Kgobisa-Ngcaba ,DA ,Correctional Services,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
154,NW176E,Ms K Kgobisa-Ngcaba ,DA ,Police,"Thursday, February 06, 2025","Monday, March 10, 2025","Friday, March 07, 2025",Late,A,"Transferred from CS wef Monday, 10 February 2025 - R 145(5) Extension approved ",
155,NW177E,Ms K Kgobisa-Ngcaba ,DA ,Police,"Thursday, February 06, 2025","Thursday, March 06, 2025","Wednesday, March 26, 2025",Late,A,R 145(5) Extension approved,
156,NW178E,Dr D C Christians ,DA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, April 15, 2025",Late,A,,
157,NW179E,Dr D C Christians ,DA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, March 13, 2025",Late,A,,
158,NW180E,Dr D C Christians ,DA ,Basic Education,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
159,NW181E,Mr A C Roos ,DA ,Land Reform and Rural Development,"Thursday, February 06, 2025","Thursday, February 20, 2025","Tuesday, February 18, 2025",Timeous,A,,
160,NW182E,Dr K W du P le Roux ,DA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
161,NW183E,Dr K W du P le Roux ,DA ,Health,"Thursday, February 06, 2025","Thursday, February 20, 2025","Thursday, February 20, 2025",Timeous,A,,
162,NW184E,Mr R W T Chance ,DA ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
163,NW185E,Mr R W T Chance ,DA ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
164,NW186E,Mr R W T Chance ,DA ,"Trade, Industry and Competition","Thursday, February 06, 2025","Thursday, February 20, 2025","Wednesday, March 05, 2025",Late,A,,
165,NW187E,Mr A G Bateman ,DA ,Finance,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
166,NW188E,Ms E L Powell ,DA ,Justice and Constitutional Development,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
167,NW190E,Ms A L A Abrahams ,DA ,Social Development,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
168,NW191E,Ms A L A Abrahams ,DA ,Social Development,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
169,NW192E,Ms A L A Abrahams ,DA ,Social Development,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
170,NW193E,Mr I Cameron ,DA ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025","Friday, February 21, 2025",Late,A,,
171,NW194E,Mr I Cameron ,DA ,Police,"Thursday, February 06, 2025","Thursday, February 20, 2025",RULE 146(1) ,R146(1),R146(1),,
