id,member,profile_pic,party_id,ID_y,gender,date_of_death,date_of_birth,slug,legal_name,updated,created,title,family_name,given_name
2324,"Nkosi, Mr V A",Vusumuzi_Alfred_Nkosi.jpg,1,26703,male,,1985-03-09,vusumuzi-alfred-nkosi,Vusumuzi Alfred Nkosi,"September 4, 2024, 11:23 AM","June 18, 2024, 7:58 AM",Mr,Nkosi,Vusumuzi Alfred
2345,"Matiwane, Mr C",matiwane.jpg,11,20896,male,,1987-09-26,chumani-matiwane,Chumani Matiwane,"November 3, 2025, 10:15 AM","June 18, 2024, 6:18 AM",,Matiwane,Chumani
2355,"Mtolo, Mr J B",mtolo_JB.jpg,19,21987,male,,1968-08-05,jeffrey-bhekumndeni-mtolo,Jeffrey Bhekumndeni Mtolo,"November 9, 2025, 6:18 PM","June 18, 2024, 6:21 AM",Mr,Mtolo,Jeffrey Bhekumndeni
2334,"Mbiko, Ms F",fez.jpg,2,6044,female,,1958-06-18,fezeka-mbiko,Fezeka Mbiko,"September 5, 2025, 1:18 PM","May 3, 2014, 12:14 AM",,Mbiko,Fezeka
2336,"Lonzi, Mr S",lonzi.jpg,11,20869,male,,1997-12-02,sihle-lonzi,Sihle Lonzi,"November 3, 2025, 8:42 AM","June 18, 2024, 6:18 AM",,Lonzi,Sihle
2342,"Nchabeleng, Mr A",nchabeleng.png,19,10336,male,,1974-08-30,adil-nchabeleng,Adil Nchabeleng,"July 8, 2025, 1:08 PM","May 21, 2019, 7:19 PM",,Nchabeleng,Adil
2341,"Segede, Mr M",1-88966aa6.png,1,27503,male,,1968-11-11,michael-segede,Michael Segede,"March 6, 2025, 8:51 AM","December 7, 2024, 12:09 PM",Mr,,
1968,"Blose, Mr MB",Blose_Mzwikayise.jpeg,11,20876,male,,1986-10-24,mazwikayise-brian-blose,Mazwikayise Brian Blose,"November 3, 2025, 8:34 AM","June 18, 2024, 6:18 AM",Mr,Blose,Mazwikayise Brian
619,"Whitfield, Mr AG",whitfield.jpg,2,6199,male,,1982-11-24,andrew-grant-whitfield,Andrew Grant Whitfield,"July 10, 2025, 9:35 AM","May 3, 2014, 12:15 AM",Mr,Whitfield,Andrew Grant
2369,"Ngobese, Mr A K",ngobese.jpg,4,27043,male,,,alco-kufakwezwe-ngobese,Alco Kufakwezwe Ngobese,"October 31, 2025, 7:56 AM","June 18, 2024, 8:00 AM",Mr,Ngobese,Alco Kufakwezwe
2027,"Ismail-Moosa, Mr I",moose.jpg,17,26878,male,,1961-06-15,imraan-ismail-moosa,Imraan Ismail-Moosa,"November 24, 2025, 9:03 AM","June 18, 2024, 7:59 AM",,Ismail-Moosa,Imraan
2356,"Cele, Mr Z K A",zk_cele.jpg,19,27507,male,,1966-02-24,zibuse-khayelihle-abednego-cele,Zibuse Khayelihle Abednego Cele,"November 3, 2025, 10:09 AM","June 27, 2025, 4:51 AM",Mr,,
1908,"Niehaus, Mr CG",neihaus.jpg,11,20870,male,,1959-12-25,carl-gerhardus-niehaus,Carl Gerhardus Niehaus,"June 23, 2025, 1:14 PM","June 18, 2024, 6:18 AM",Mr,Niehaus,Carl Gerhardus
651,"Atkinson, Mr P",aTKINSON.jpg,2,6230,male,,1961-09-25,patrick-george-atkinson,Patrick George Atkinson,"August 5, 2024, 9:11 AM","May 3, 2014, 12:15 AM",Mr,Atkinson,Patrick George
2325,"Seate, Ms M O",Makithing_Olga_Seate.jpg,1,19961,female,,1991-06-10,makithing-olga-seate,Makithing Olga Seate,"April 2, 2025, 8:33 AM","June 18, 2024, 6:15 AM",Ms,Seate,Makithing Olga
2359,"Buthelezi, Ms N",1/buthelezi.jpg,19,27509,female,,1989-07-15,noma-buthelezi,Noma Buthelezi,"November 3, 2025, 10:11 AM","June 27, 2025, 5:13 AM",Ms,,
2330,"Kobane, Mr G E",penny_penny.jpg,19,27496,male,,1962-03-15,gezani-eric-kobane,Gezani Eric Kobane,"February 15, 2025, 11:32 AM","August 29, 2024, 7:12 AM",Mr,Kobane,Gezani Eric
2338,"Daniels, Mr M V",dd.jpg,20,27502,male,,1967-12-23,marlon-daniels,Marlon Daniels,"July 10, 2025, 1:39 PM","November 28, 2024, 11:32 AM",Mr,Daniels,Marlon Vivienne
2320,"Hlophe, Mr C R",hlophe_R.jpg,1,19963,male,,1959-07-07,conduct-richard-hlophe,Richard Hlophe,"October 29, 2024, 10:04 AM","June 18, 2024, 6:15 AM",Mr,Hlophe,Conduct Richard
2343,"Makhubele, Ms C",1/makhubele.png,19,21680,female,,1979-03-30,tshikani-colleen-makhubele,Tshikani Colleen Makhubele,"November 6, 2025, 7:25 AM","June 18, 2024, 6:20 AM",,Makhubele,Tshikani Colleen
1929,"Mtolo, Ms NE",1/Mtolo.jpg,1,26681,female,,1981-09-06,nombuso-elizabeth-mtolo,Nombuso Elizabeth Mtolo,"September 4, 2024, 11:17 AM","June 18, 2024, 7:58 AM",Ms,Mtolo,Nombuso Elizabeth
2331,"Gama, Mr S I",gama.jpg,19,27495,male,,1967-05-19,siyabonga-gama,Siyabonga Innocent Gama,"April 4, 2025, 12:47 PM","August 29, 2024, 7:09 AM",Mr,Gama,Siyabonga Innocent
843,"Tolashe, Ms N G",1/tolashe.jpg,1,9648,female,,1959-12-21,nokuzola-gladys-tolashe,Nokuzola Gladys Tolashe,"October 21, 2025, 1:44 PM","September 8, 2016, 8:24 AM",Ms,Tolashe,Nokuzola Gladys
2036,"Singh, Ms S",1/singh.jpg,2,11195,female,,1964-06-27,shara-singh,Shara Singh,"October 6, 2025, 11:47 AM","May 21, 2019, 7:21 PM",Ms,Singh,Shara
1909,"Gcilishe, Ms S",Gclishe.jpg,11,11389,female,,1983-08-29,sixolisa-gcilishe,Sixolisa Gcilishe,"February 23, 2025, 5:49 AM","May 21, 2019, 7:22 PM",,Gcilishe,Sixolisa
2371,"Khoza, Mr M",khoza.png,11,27514,male,,1995-03-08,muzi-khoza,Muzi Khoza,"November 3, 2025, 8:40 AM","September 23, 2025, 11:05 AM",Mr,,
2339,"Mathopa, Ms M L",mil.jpg,20,25463,female,,1975-04-07,millicent-lorato-mathopa,Millicent Lorato Mathopa,"October 20, 2025, 10:06 AM","June 18, 2024, 6:36 AM",,Mathopa,Millicent Lorato
2178,"Trollip, Mr A",1/trollip.jpg,21,975,male,,1964-03-12,roland-athol-price-trollip,Roland Athol Price Trollip,"February 10, 2025, 4:10 PM","August 1, 2013, 12:14 AM",Mr,Trollip,Roland Athol Price
959,"Mvana, Ms NQ",mvana.jpg,1,1541,female,,1960-02-12,nonkosi-mvana,Nonkosi Queenie Mvana,"January 23, 2025, 6:46 PM","November 13, 2013, 3:29 PM",Ms,Mvana,Nonkosi Queenie
2357,"Mkhize, Mr S W",mkhize.......jpg,19,27508,male,,1980-06-06,siphetho-witness-mkhize,Siphetho Witness Mkhize,"November 9, 2025, 6:46 PM","June 27, 2025, 4:56 AM",Mr,,
2375,"Ntuli, Ms D R",3/ntuli.jpg,1,26683,female,,1969-05-14,dipuo-rosina-ntuli,Dipuo Rosina Ntuli,"December 1, 2025, 9:17 AM","June 18, 2024, 7:58 AM",,Ntuli,Dipuo Rosina
2376,"Radebe, Ms HM",RADEBE.png,19,27403,female,,1972-01-27,harriet-makhosazana-radebe,Harriet Makhosazana Radebe,"December 12, 2025, 11:57 AM","June 18, 2024, 8:01 AM",Ms,Radebe,Harriet Makhosazana
2358,"Motaung, Mr G",motaung_Gift.jpg,19,21867,male,,1981-05-12,gift-motaung,Gift Motaung,"November 9, 2025, 6:19 PM","June 18, 2024, 6:20 AM",,Motaung,Gift
1970,"Machi, Ms BE",1/Machi.jpg,4,27049,female,,1959-12-29,busaphi-eleonor-machi,Busaphi Eleonor Machi,"November 25, 2025, 12:15 PM","June 18, 2024, 8:00 AM",Ms,Machi,Busaphi Eleonor
1930,"Subrathie, Mr SI",1/Subrathie.jpg,1,26682,male,,1970-03-06,shaik-imraan-subrathie,Shaik Imraan Subrathie,"April 3, 2025, 3:22 PM","June 18, 2024, 7:58 AM",Mr,Subrathie,Shaik Imraan
2377,"Kubukeli, Mr P",KUBUKI.png,19,21920,male,,1966-09-28,pumlani-kubukeli,Pumlani Kubukeli,"December 12, 2025, 11:54 AM","June 18, 2024, 6:21 AM",Mr,Kubukeli,Pumlani
2327,"Shongwe, Mr C V",shongwe....cv.jpg,19,15866,male,,1983-03-10,crossby-vusi-shongwe,Crossby Vusi Shongwe,"July 16, 2025, 9:35 AM","May 24, 2019, 1:35 PM",Mr,Shongwe,Crossby Vusi
1799,"Mogale, Mr T",2/mogale.jpg,11,19149,male,,1982-11-09,thapelo-mogale,Thapelo Mogale,"November 3, 2025, 8:45 AM","August 17, 2022, 11:53 AM",Mr,,
2028,"Hala, Mr MM",Hala.jpg,1,26643,male,,1959-02-15,mzimasi-mike-hala,Mzimasi Mike Hala,"October 10, 2024, 9:24 AM","June 18, 2024, 7:58 AM",Mr,Hala,Mzimasi Mike
1845,"Manyi, Mr M",man.jpg,19,19179,male,,1964-06-20,mzwanele-jimmy-manyi,Mzwanele Manyi,"July 14, 2025, 1:57 PM","June 8, 2023, 12:11 PM",Mr,,
2332,"Gamede, Mr T I",gamede.jpg,19,21962,male,,1985-01-17,thulani-innocent-gamede,Thulani Innocent Gamede,"July 8, 2025, 1:35 PM","June 18, 2024, 6:21 AM",Mr,Gamede,Thulani Innocent
2340,"van Wyk, Mr SHM",saintes-harry-mclove-van-wyk.jpg,20,21426,male,,1979-03-09,saintes-harry-mclove-van-wyk,Saintes Harry Mclove Van Wyk,"May 5, 2025, 10:13 AM","June 18, 2024, 6:19 AM",Mr,Van Wyk,Saintes Harry Mclove
1414,"Nzuza, Mr NB",nzuza.jpg,1,13739,male,,1982-02-20,njabulo-bheka-nzuza,Njabulo Bheka Nzuza,"October 8, 2025, 11:13 AM","May 21, 2019, 7:28 PM",Mr,Nzuza,Njabulo Bheka
1910,"Mailola, Ms PR",poppy.jpg,11,11374,female,,1984-07-17,poppy-raisibe-mailola,Poppy Raisibe Mailola,"June 20, 2025, 9:17 AM","May 21, 2019, 7:22 PM",Ms,Mailola,Poppy Raisibe
770,"Labuschagne, Ms C",Labuscaghne.jpg,2,6668,female,,1958-09-08,cathleen-labuschagne,Cathlene Labuschagne,"January 23, 2025, 6:18 PM","May 3, 2014, 12:16 AM",Ms,Labuschagne,Cathlene
2031,"Kumbaca, Ms AN",Kumbaca.jpg,1,26644,female,,1992-09-03,andisiwe-nangamso-kumbaca,Andisiwe Nangamso Kumbaca,"February 15, 2025, 11:24 AM","June 18, 2024, 7:58 AM",Ms,Kumbaca,Andisiwe Nangamso
683,"Macpherson, Mr DW",Macpherson.jpg,2,6235,male,,1985-02-02,dean-william-macpherson,Dean William Macpherson,"October 7, 2025, 1:02 PM","May 3, 2014, 12:15 AM",Mr,Macpherson,Dean William
2029,Hlazo-Webster Ms NL,webster.jpg,23,20611,female,,1982-04-03,nobuntu-lindumusa-webster,Nobuntu Lindumusa Hlazo-Webster,"September 23, 2025, 7:25 AM","June 18, 2024, 6:17 AM",Ms,Webster,Nobuntu Lindumusa
2032,"Smith, Mr R",SmithR.jpg,2,20824,male,,1990-04-30,ryan-smith,Ryan Smith,"November 17, 2025, 10:42 AM","June 18, 2024, 6:17 AM",Mr,Smith,Ryan
2034,"Linde, Ms E",Linde.jpg,2,6258,female,,1971-01-09,elmarie-linde,Elmarie Linde,"January 24, 2025, 10:59 AM","May 3, 2014, 12:15 AM",Ms,Linde,Elmarie
2360,"Shezi, Mr N N",shezi.jpg,19,27510,male,,1976-03-22,ntandoyenkosi-nkosentsha-shezi,Ntandoyenkosi Nkosentsha Shezi,"October 29, 2025, 12:28 PM","June 27, 2025, 5:17 AM",Mr,,
2378,"Zuma, Ms B E S",zuma_bu.jpg,19,27520,female,,1993-05-21,brumelda-esserina-sharon-renee-zuma,Brumelda Esserina Sharon-Renee Zuma,"December 12, 2025, 5:23 PM","December 11, 2025, 10:21 AM",Ms,,
1971,"Buthelezi, Inkosi NZ",N_Buthelezi.jpg,4,21113,male,,1955-01-16,ntuthukoyezwe-zuzifa-buthelezi,Ntuthukoyezwe Zuzifa Buthelezi,"March 18, 2025, 10:02 AM","June 18, 2024, 6:18 AM",Inkosi,Buthelezi,Ntuthukoyezwe Zuzifa
1972,"Mhlongo, Ms NH",mhlongo_nompumelelo.jpg,4,27050,female,,1961-01-15,nompumelelo-happiness-mhlongo,Nompumelelo Happiness Mhlongo,"October 20, 2025, 10:05 AM","June 18, 2024, 8:00 AM",Ms,Mhlongo,Nompumelelo Happiness
1940,"Mhlauli, Ms NB",Mhalauli.jpg,1,19947,female,,1990-06-03,nonceba-bianca-mhlauli,Nonceba Bianca Mhlauli,"October 17, 2025, 8:16 AM","June 18, 2024, 6:15 AM",,Mhlauli,Nonceba Bianca
327,"Meshoe, Rev KR",Meshoe.jpg,3,780,male,,1954-01-18,kenneth-raselabe-joseph-meshoe,Kenneth Raselabe Joseph Meshoe,"September 5, 2025, 1:52 PM","July 31, 2013, 11:49 PM",Rev,Meshoe,Kenneth Raselabe Joseph
2030,"Dithebe, Mr SL",Dithebe.jpg,1,26651,male,,1967-12-07,sello-leon-dithebe,Sello Leon Dithebe,"August 20, 2024, 11:38 AM","June 18, 2024, 7:58 AM",Mr,Dithebe,Sello Leon
2362,"Basson, Ms J A",1/basson.jpg,20,27511,female,,1982-06-16,juliet-adileen-basson,Juliet Adileen Basson,"October 29, 2025, 12:27 PM","June 27, 2025, 5:30 AM",Ms,,
2130,"Hlophe, Dr J",hlophe_dr.jpg,19,27473,male,,1959-01-01,mandlakayise-john-hlope,Mandlakayise John Hlope,"July 8, 2025, 10:11 AM","June 26, 2024, 7:29 AM",Dr,Hlope,Mandlakayise John
2039,"Frenchman, Ms S",Frenchman.jpg,24,21132,female,,1974-09-17,sakiena-frenchman,Sakiena Frenchman,"March 17, 2025, 2:08 PM","June 18, 2024, 6:18 AM",Ms,Frenchman,Sakiena
2354,"Jama, Ms SP",jama.jpg,1,19962,female,,1996-10-10,sisipho-palomina-jama,Sisipho Palomino Jama,"November 3, 2025, 10:01 AM","June 18, 2024, 6:15 AM",,Jama,Sisipho Palomino
2363,"Mkhize, Ms P",mkhize_p.jpg,19,21868,female,,2001-08-30,philasande-mkhize,Philasande Mkhize,"November 3, 2025, 10:13 AM","June 18, 2024, 6:20 AM",Ms,Mkhize,Philasande
1441,"Izaks, Ms SE",Izaks.jpg,1,4566,female,,1964-04-22,sylvia-elizabeth-lucas,Sylvia Elizabeth Izaks,"October 8, 2025, 8:54 AM","May 2, 2014, 4:40 PM",Ms,Lucas,Sylvia Elizabeth
295,"Mashatile, Mr SP",Mashatile.jpg,1,749,male,,1961-10-21,shipokosa-paul-mashatile,Paul Mashatile,"October 20, 2025, 10:08 AM","July 31, 2013, 11:45 PM",Mr,Mashatile,Shipokasa Paulus
810,"Maswanganyi, Mr MJ",Maswanganyi.jpg,1,4493,male,,1966-04-14,mkhacani-joseph-maswanganyi,Mkhacani Joseph Maswanganyi,"October 21, 2025, 1:49 PM","May 2, 2014, 4:40 PM",Mr,Maswanganyi,Mkhacani Joseph
2038,"Bateman, Mr AG",Bateman.jpg,2,20826,male,,1973-12-20,andrew-gordon-bateman,Andrew Gordon Bateman,"September 5, 2025, 1:47 PM","June 18, 2024, 6:17 AM",Mr,Bateman,Andrew Gordon
1798,"Van Zyl, Ms A M",Van_Zyl.jpg,2,19151,female,,1982-11-26,anna-maria-van-zyl,Anna Maria Van Zyl,"February 7, 2025, 6:48 PM","August 17, 2022, 12:10 PM",Ms,,
1991,"Makgato, Ms MP",Makgato.jpg,1,26695,female,,1963-12-01,moyagabo-paulina-makgato,Moyagabo Paulina Makgato,"November 21, 2025, 1:42 PM","June 18, 2024, 7:58 AM",Ms,Makgato,Moyagabo Paulina
2040,"Mofokeng, Ms ML",mofokeng.jpg,1,26650,female,,1970-11-30,masetshego-lenah-mofokeng,Masetshego Lenah Mofokeng,"June 12, 2025, 7:14 AM","June 18, 2024, 7:58 AM",Ms,Mofokeng,Masetshego Lenah
1718,"Mkhonto, Ms C N",Mkhonto.jpg,11,11376,female,,1965-10-26,constance-nonhlanhla-mkhonto,Constance Nonhlanhla Mkhonto,"February 25, 2025, 1:53 PM","May 21, 2019, 7:22 PM",Ms,Mkhonto,Constance Nonhlanhla
838,"Mchunu, Mr ES",Mchunu.jpg,1,1882,male,,1958-04-21,es-mchunu,Edward Senzo Mchunu,"October 21, 2025, 2:00 PM","December 11, 2013, 3:57 PM",Mr,Mchunu,Edward
1413,"Graham-Maré, Ms SJ",Graham.jpg,2,11149,female,,1969-05-27,samantha-jane-graham,Samantha Jane Graham,"August 19, 2025, 10:30 AM","May 21, 2019, 7:21 PM",Ms,Graham,Samantha Jane
249,"Kubayi, Ms M",Kubayi.jpg,1,689,female,,1978-05-08,mmamoloko-tryphosa-kubayi,Mmamoloko Kubayi,"October 7, 2025, 11:34 AM","July 31, 2013, 11:39 PM",Ms,Kubayi,Mmamoloko Tryphosa
1938,"Letlape, Dr TKS",letlape.jpg,21,19301,male,,1959-04-14,tebogo-kgosietsile-solomon-letlape,Tebogo Kgosietsile Solomon Letlape,"October 10, 2025, 10:39 AM","June 18, 2024, 6:14 AM",Dr,Letlape,Tebogo Kgosietsile Solomon
580,"Mahlobo, Mr MD",Mahlobo_MB.jpg,1,4185,male,,1972-01-14,mbangiseni-david-mahlobo,Mbangiseni David Mahlobo,"October 17, 2025, 10:26 AM","May 2, 2014, 4:39 PM",Mr,Mahlobo,Mbangiseni David
2043,"James, Ms DE",James_de.jpg,21,19313,female,,1976-07-09,dereleen-elana-james,Dereleen Elana James,"September 3, 2025, 11:14 AM","June 18, 2024, 6:14 AM",Ms,James,Dereleen Elana
1942,"Nalumango, Ms RS",naumango.jpg,1,14865,female,,1978-09-27,ronalda-schivonne-nalumango,Ronalda Schivonne Nalumango,"June 19, 2025, 9:13 AM","May 21, 2019, 7:32 PM",Ms,Nalumango,Ronalda Schivonne
1935,"Chauke-Adonis, Ms TM",TM_Chauke.jpg,1,19944,female,,1992-09-04,tshehofatso-meagan-chauke,Tshehofatso Meagan Chauke,"November 26, 2024, 7:26 AM","June 18, 2024, 6:15 AM",Ms,Chauke,Tshehofatso Meagan
1941,"Mgcina, Ms PS",Phumzile_Mgcina.jpg,1,19948,female,,1990-08-08,phumzile-sinclatia-mgcina,Phumzile Sinclatia Mgcina,"October 8, 2025, 11:25 AM","June 18, 2024, 6:15 AM",,Mgcina,Phumzile Sinclatia
1914,"Mc Kenzie, Mr G",mckenzie.jpg,20,15669,male,,1974-03-10,gayton-mc-kenzie,Gayton Mc Kenzie,"October 7, 2025, 1:15 PM","May 24, 2019, 1:34 PM",Mr,Mc Kenzie,Gayton
1937,"Beesley, Mr AD",Alan_Beesley.JPG,21,19302,male,,1967-05-28,alan-david-beesley,Alan David Beesley,"February 10, 2025, 4:07 PM","June 18, 2024, 6:14 AM",Mr,Beesley,Alan David
1936,"Kobe, Ms MP",Kobe.jpg,21,19303,female,,1991-08-18,malebo-patricia-kobe,malebo Patricia Kobe,"February 15, 2025, 11:30 AM","June 18, 2024, 6:14 AM",Ms,Kobe,malebo Patricia
1939,"Godlimpi, Mr Z",zuko.JPG,1,19946,male,,1992-03-21,zuko-godlimpi,Zuko Godlimpi,"August 19, 2025, 12:04 PM","June 18, 2024, 6:15 AM",,Godlimpi,Zuko
2044,"Tshotetsi, Mr NT",Mr_Noble_Tshiamo_Tshotetsi.JPG,1,17776,male,,1988-10-26,noble-tshiamo-tshotetsi,Noble Tshiamo Tshotetsi,"November 19, 2024, 7:17 AM","May 24, 2019, 1:42 PM",Mr,Tshotetsi,Noble Tshiamo
2075,"Gasa, Mr MM",Gasa_mkp.jpg,19,21833,male,,1976-12-24,musawenkosi-mhlabuhlangene-gasa,Musawenkosi Mhlabuhlangene Gasa,"July 8, 2025, 1:33 PM","June 18, 2024, 6:20 AM",,Gasa,Musawenkosi Mhlabuhlangene
1982,"Pholwane, Ms MB",1/Pholwane.jpg,1,26691,female,,1964-12-23,maakgalake-beneilwe-pholwane,Maakgalake Beneilwe Pholwane,"October 7, 2025, 8:25 AM","June 18, 2024, 7:58 AM",Ms,Pholwane,Maakgalake Beneilwe
1983,"Moela, Mr MS",Moela.jpg,1,26692,male,,1987-07-04,mogodu-samuel-moela,Mogodu Samuel Moela,"November 28, 2024, 11:59 AM","June 18, 2024, 7:58 AM",Mr,Moela,Mogodu Samuel
51,"Gigaba, Dr M",Gigaba.jpg,1,639,male,,1971-08-30,knowledge-malusi-nkanyezi-gigaba,Knowledge Malusi Nkanyezi Gigaba,"September 23, 2025, 6:37 AM","July 31, 2013, 11:32 PM",Dr,Gigaba,Knowledge Malusi Nkanyezi
2244,"Ligaraba, Ms LE",Ligraba.jpg,1,26693,female,,1971-07-26,livhuwani-ethel-ligaraba,Livhuwani Ethel Ligaraba,"August 23, 2024, 8:50 AM","June 18, 2024, 7:58 AM",Ms,Ligaraba,Livhuwani Ethel
951,"Marawu, Ms TL",Marawu_TL.jpg,15,1597,female,,1960-11-04,thandiswa-marawu,Thandiswa Linnen Marawu,"January 23, 2025, 6:27 PM","November 13, 2013, 3:29 PM",Ms,Marawu,Thandiswa Linnen
1943,"Ntuli, Mr M",2/ntuli.jpg,1,19949,male,,1979-03-05,mdumiseni-ntuli,Mdumiseni Ntuli,"February 10, 2025, 8:01 AM","June 18, 2024, 6:15 AM",Mr,Ntuli,Mdumiseni
2046,"Mmolotsane, Ms ML",mmolotsane.jpg,1,26652,female,,1971-04-20,matsholo-liesbet-mmolotsane,Matsholo Liesbet Mmolotsane,"August 22, 2024, 1:59 PM","June 18, 2024, 7:58 AM",Ms,Mmolotsane,Matsholo Liesbet
2268,"Peters, Ms SM",peters.jpg,20,25389,female,,1972-03-24,sheila-mary-peters,Sheila Mary Peters,"November 3, 2025, 10:08 AM","June 18, 2024, 6:36 AM",Ms,Peters,Sheila Mary
492,"Boshielo, Ms SP",Boshielo.jpg,1,4316,female,,1971-02-26,shela-paulina-boshielo,Shela Paulina Boshielo,"July 2, 2024, 2:45 PM","May 2, 2014, 4:40 PM",Ms,Boshielo,Shela Paulina
2077,"Abader, Ms ZS",Zelna_Abader.JPG,19,27329,female,,1968-03-19,zelna-saira-abader,Zelna Saira Abader,"July 24, 2025, 11:54 AM","June 18, 2024, 8:01 AM",Ms,Abader,Zelna Saira
1944,"Maimela, Ms KJ",Maimela.jpg,1,19950,female,,1988-06-09,khomotjo-joy-maimela,Khomotjo Joy Maimela,"March 10, 2025, 8:43 AM","June 18, 2024, 6:15 AM",Ms,Maimela,Khomotjo Joy
2081,"Madlala, Mr E",Madlala.jpg,19,21912,male,,1987-07-23,emerald-kwenzokuhle-madlala,Emerald Kwenzokuhle Madlala,"July 8, 2025, 11:58 AM","June 18, 2024, 6:21 AM",,Madlala,Emerald Kwenzokuhle
1985,"Ramaila, Mr KS",Ramaila.jpg,1,20000,male,,1961-03-22,keamotseng-stanley-ramaila,Keamotseng Stanley Ramaila,"August 27, 2024, 10:39 AM","June 18, 2024, 6:15 AM",Mr,Ramaila,Keamotseng Stanley
2047,"Bath, Mr EM",bath.jpg,2,20817,male,,1990-01-27,edwin-macrae-bath,Edwin Macrae Bath,"February 15, 2025, 11:26 AM","June 18, 2024, 6:17 AM",Mr,Bath,Edwin Macrae
2078,"Gcwabaza, Rev NB",Gcwabaza.jpg,19,13857,male,,1980-04-02,nhlanhla-bernard-gcwabaza,Nhlanhla Bernard Gcwabaza,"July 8, 2025, 2:58 PM","May 21, 2019, 7:28 PM",Rev,Gcwabaza,Nhlanhla Bernard
1945,"Neale-May, Ms HE",Neale-May.jpg,1,19951,female,,1957-10-26,helen-elizabeth-nealemay,Helen Elizabeth Neale‐May,"March 6, 2025, 8:45 AM","June 18, 2024, 6:15 AM",Ms,Neale‐May,Helen Elizabeth
2163,"Cloete, Mr EA",Erald_Cloete.JPG,1,26715,male,,1995-10-08,erald-alzano-cloete,Erald Alzano Cloete,"July 26, 2024, 12:08 PM","June 18, 2024, 7:58 AM",Mr,Cloete,Erald Alzano
2048,"Komane, Mr LM",Komane.jpg,11,11344,male,,1972-07-10,lencel-mashidika-komane,Lencel Mashidika Komane,"December 6, 2024, 1:25 PM","May 21, 2019, 7:21 PM",,Komane,Lencel Mashidika
1989,"Sauls, Mr A",1/sauls.jpg,20,21390,male,,1983-06-24,ashley-sauls,Ashley !Qhoeke Sauls I,"August 14, 2025, 1:22 PM","June 18, 2024, 6:19 AM",Mr,Sauls,Ashley
2049,"Jordaan, Ms C",Jordaan.jpg,2,11177,female,,1991-10-22,ciska-jordaan,Ciska Jordaan,"February 27, 2025, 10:45 AM","May 21, 2019, 7:21 PM",Ms,Jordaan,Ciska
1134,"Masemola, Dr ND",Masemola.jpg,1,1480,male,,1968-01-11,mr-masemola-namane-dickson,Namane Dickson Masemola,"August 14, 2024, 8:29 AM","November 13, 2013, 3:29 PM",Mr,Masemola,Namane Dickson
2085,"Matutu, Mr MJ",Mandlenkosi_James_Matutu.JPG,19,21831,male,,1981-06-06,mandlenkosi-james-matutu,Mandlenkosi James Matutu,"July 8, 2025, 1:04 PM","June 18, 2024, 6:20 AM",,Matutu,Mandlenkosi James
